Christ Embassy Nungua Main, 237
CE Nungua Zonal Teens Ministry, 1066
CE Nungua Teens Ministry, 333
CE Nungua 2, 287
CE Madina Teens Church, 1635
CE Rhema Land, 1634
CE Klagon Teens Church, 1554
CE Teshie Teens Church, 1296
CE Lashibi Teens Church, 1105
CE Katamanso, 1100
CE Tema 1 Teens Church, 1096
CE Tamale Teens Church, 1095
CE Dansoman Teens Church, 1094
CE Baatsona 1 Teens Church, 1093
CE Tema New Town Teens Church, 1092
CE Adenta Teens Church, 1091
CE Tema 2 Teens Church, 1090
CE Mitchel Nation Teens Church, 1089
Ce Tema 1 Teens Church, 1088
CE Buduburam Teens Church, 1087
CE CHAPTER ONE, 1086
CE Greda Estate Teens Church, 1080
Christ Embassy Graceland, 999
CE Mount Pleasants, 989
CE Matru Jung, 988
CE Njai town, 987
CE Yemoh Town, 986
CE Gambia, 983
CE Torkpoi Town, 981
CE Kanden Town - Bo, 980
CE BO 2, 979
CE Loveworld Centre Bo, 978
CE mabanta, 977
CE Lunsar, 976
CE Makeni 2, 975
CE Magburaka, 974
CE Makeni Central Church - Magburaka, 973
CE Makeni Central - Makeni, 972
Christ Embassy Soul Clinic, 969
CE Jacob Town, 968
CE Airfield, 967
Ce Schifflin Town, 966
CE Kakata, 965
CE Harbel, 964
CE Turmanbur, 963
CE Morris farm, 962
CE Voijamia, 961
CE Zwedru, 960
CE Adenta 1, 959
CE OYIBI, 939
CE Abokobi, 938
Christ Embassy Danfa, 932
CE Ashaiman Market Square, 757
CE Ashaiman Teens Church, 736
CE Kasoa Teen's, 733
Christ Embassy Oldroad, 661
Christ Embassy Monrovia, 660
Christ Embassy Kono, 659
Christ Embassy Hill Station, 658
Christ Embassy Kossoh Town, 657
Christ Embassy Goderich, 656
Christ Embassy Aberdeen, 655
Christ Embassy Kissy, 651
CE Central Church, 638
CHRIST EMBASSY DODOWA, 350
CE Somailia Drive, 329
CE CONGO CROSS, 327
CE Soko, 320
CE Koforidua, 319
CE Lapaz, 318
CE Dunkwa, 317
CE Adidome, 302
CE Half-Assini, 301
CE Nkwanta, 300
CE Comm 22 Annex, 299
CE Trade Fair Labadi, 298
CE Jordan, 297
CE Dansoman, 296
CE Gbetsile, 295
CE Akuse, 294
CE Mitchel Nation, 293
CE Twi Church, 292
CE Axim, 291
CE Odumse, 290
CE Baatsona, 289
CE East Legon, 288
CE Teshie Camp 2, 286
CE Zenu, 285
CE Tamale 2, 284
CE Tamale, 283
CE Middle East, 282
CE Prampram, 281
CE Sege, 280
CE DENU, 267
CE Kpone, 261
CE Tema 3, 260
CE Tema 2, 259
CE Tema 1, 258
CE Madina, 257
CE Adenta Group Church, 256
CE Glory Land, 255
CE Klagon, 253
CE Lashibi 1, 252
CE GA Church, 251
CE Triumphant (Admin purpose only), 250
CE Teshie Greda Estate, 249
Christ Embassy Teshie , 248
CE Paynesville , 247
CE Kpong, 246
CE Saltpond, 245
CE Affienya, 244
CE Ashaiman New Town, 243
CE Prestige, 242
CE Kasoa Kingstown, 241
CE Buduburam, 240
CE kasoa, 239
CE Tema New Town, 238
